iter	Logloss
0	0.6092398535
5	0.3912661982
10	0.3042084746
15	0.2574137225
20	0.2237328826
25	0.1981031415
30	0.1801081372
35	0.1669510344
40	0.1561777436
45	0.1490798917
50	0.1430536494
55	0.1379847933
60	0.1336469913
65	0.1301444059
70	0.1269218121
75	0.1245444734
80	0.1219049767
85	0.1197594235
90	0.1174205318
95	0.1156463144
100	0.11387289
105	0.1121283349
110	0.1103141294
115	0.1088683138
120	0.107652909
125	0.1068100031
130	0.1054863949
135	0.1040756122
140	0.1029520423
145	0.1018939383
150	0.1007175471
155	0.09980729458
160	0.09889798621
165	0.09787679597
170	0.09717643146
175	0.09644746199
180	0.09552460271
185	0.09476687721
190	0.09401334388
195	0.09331012416
200	0.09269221324
205	0.09202224386
210	0.09138475436
215	0.09082940876
220	0.0902848495
225	0.08958843544
230	0.08905861299
235	0.0883515259
240	0.08791226189
245	0.08729743278
250	0.08682085467
255	0.08632620113
260	0.08579639378
265	0.08535548312
270	0.0849554518
275	0.08454599375
280	0.08410711497
285	0.0835650408
290	0.08325148906
295	0.08298705748
300	0.08257068046
305	0.08209941244
310	0.08161605132
315	0.08131353519
320	0.08079928041
325	0.08045818875
330	0.08010581221
335	0.07977634533
340	0.07941707248
345	0.07913971692
350	0.07886594171
355	0.07859081442
360	0.07829063231
365	0.07803131442
370	0.07769113672
375	0.07749025996
380	0.07722159089
385	0.07688697254
390	0.07660810629
395	0.07623644577
400	0.0758460451
405	0.07542264337
410	0.07495287849
415	0.07461496683
420	0.07436476597
425	0.07406620029
430	0.07377421368
435	0.07340671511
440	0.07318206006
445	0.07299714376
450	0.07274166303
455	0.0724746104
460	0.07208313714
465	0.07172012533
470	0.07144616128
475	0.07110567389
480	0.07074118916
485	0.07044951224
490	0.07007203555
495	0.06977492014
500	0.06940504223
505	0.06920418813
510	0.06893319259
515	0.0686992921
520	0.06857064154
525	0.06826372929
530	0.068068782
535	0.06786153012
540	0.067592642
545	0.06732199392
550	0.06713652622
555	0.06692233271
560	0.06663267256
565	0.06643066279
570	0.0660028876
575	0.06575440137
580	0.06549886021
585	0.06532739663
590	0.06508355579
595	0.06488178017
600	0.06471169887
605	0.0645018335
610	0.06429687787
615	0.06408971663
620	0.06395094444
625	0.06380087226
630	0.0634975479
635	0.0633395446
640	0.0630843509
645	0.06286988168
650	0.06257717372
655	0.06240767782
660	0.06220008981
665	0.06193352059
670	0.06170590081
675	0.06158933579
680	0.06138150607
685	0.06120025698
690	0.06099956528
695	0.06081447526
700	0.06068524309
705	0.06045304968
710	0.06020984332
715	0.06003733736
720	0.05985645084
725	0.05969981849
730	0.05953772876
735	0.05932322178
740	0.05912433536
745	0.05889522376
750	0.05868976583
755	0.05847613505
760	0.05834772998
765	0.05814844323
770	0.05789213917
775	0.05762626487
780	0.0573554204
785	0.05713278212
790	0.05693748737
795	0.05668931839
800	0.05650172062
805	0.05627872733
810	0.05611158055
815	0.05585726683
820	0.05568538403
825	0.05547665923
830	0.05525540701
835	0.05507428255
840	0.05493927576
845	0.0547509453
850	0.05462147142
855	0.0544148578
860	0.05422994529
865	0.05412062781
870	0.05397293876
875	0.05385242328
880	0.05371544503
885	0.05354737673
890	0.05337609821
895	0.05318287689
900	0.05302255844
905	0.05281025708
910	0.05255302016
915	0.05240271383
920	0.05226464788
925	0.05210987746
930	0.0519054128
935	0.05173118466
940	0.05161393983
945	0.05140933544
950	0.05123346064
955	0.0511326257
960	0.05094903127
965	0.05082595894
970	0.05064803715
975	0.05051068501
980	0.05024730713
985	0.05008107432
990	0.04990928972
995	0.04970412638
1000	0.04958396969
1005	0.04943593317
1010	0.0492923532
1015	0.04913688407
1020	0.04891401541
1025	0.04877827593
1030	0.04863557216
1035	0.04849463212
1040	0.04833384913
1045	0.04816183415
1050	0.04805776634
1055	0.04791184101
1060	0.0477767549
1065	0.0476245942
1070	0.04746174157
1075	0.04727234985
1080	0.04708472564
1085	0.04690842407
1090	0.04679090731
1095	0.04662931611
1100	0.04648720906
1105	0.04635918544
1110	0.04625910207
1115	0.04608511186
1120	0.04598214685
1125	0.04587893635
1130	0.04575335627
1135	0.04563347529
1140	0.04550765728
1145	0.04538094796
1150	0.04527251046
1155	0.04516311746
1160	0.04505740676
1165	0.04495461548
1170	0.04483493088
1175	0.04473321219
1180	0.04461402234
1185	0.04445106019
1190	0.04433109233
1195	0.04417844443
1200	0.04404815477
1205	0.04389478551
1210	0.04372594298
1215	0.04362182229
1220	0.04348425865
1225	0.04327185908
1230	0.04307820344
1235	0.0429128355
1240	0.0427585145
1245	0.04260169709
1250	0.04242921757
1255	0.04229546465
1260	0.04221933709
1265	0.04209375323
1270	0.04196841109
1275	0.04185598537
1280	0.04171982289
1285	0.04158082787
1290	0.04147425608
1295	0.04135244896
1300	0.04122277491
1305	0.04108426708
1310	0.04091818535
1315	0.04078859061
1320	0.04064856076
1325	0.04054064823
1330	0.04033899346
1335	0.04021284688
1340	0.04009964315
1345	0.0399691571
1350	0.03988010557
1355	0.03973515464
1360	0.03958862504
1365	0.03948560715
1370	0.03935377659
1375	0.03926461553
1380	0.0391394169
1385	0.03903298485
1390	0.03890574301
1395	0.03876294482
1400	0.0386254265
1405	0.03852507498
1410	0.03842311458
1415	0.0382742774
1420	0.03813209104
1425	0.037990339
1430	0.03788772523
1435	0.03775052037
1440	0.03761512835
1445	0.0374752458
1450	0.03732910897
1455	0.0371890187
1460	0.03707227617
1465	0.03695028777
1470	0.03682382771
1475	0.0367035615
1480	0.0366149745
1485	0.03647192705
1490	0.03634132392
1495	0.0362025064
1500	0.03608094099
1505	0.0359694519
1510	0.03584232336
1515	0.03577316765
1520	0.03567909683
1525	0.0355594991
1530	0.03543406254
1535	0.03535373903
1540	0.03526697242
1545	0.0351444024
1550	0.03504447765
1555	0.03492318039
1560	0.03480673245
1565	0.03472081182
